# www.neaspec.com
# Scan:	 	Approach Curve (PsHet)
# Project:	 	2103
# Description:	 	WS2 on Si ret
# Date:	 	02/04/2022 17:30:54
# Scanner Center Position (X, Y):	[µm]	50.00	50.00	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.200
# Pixel Area (X, Y, Z):	[px]	1	1	200
# Averaging:	 	1	 	 
# Integration time:	[ms]	49	 	 
# Laser Source:	 	
# Detector:	 	None
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	PsHet
# Tip Frequency:	[Hz]	264,132.610	 	 
# Tip Amplitude:	[mV]	111.700	 	 
# Tapping Amplitude:	[nm]	70.684	 	 
# Modulation Frequency:	[Hz]	302.905	 	 
# Modulation Amplitude:	[mV]	5,500.000	 	 
# Modulation Offset:	[mV]	-89.434	 	 
# Setpoint:	[%]	88.80	 	 
# Regulator (P, I, D):	 	10.000000	15.000000	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	6.143	 	 
# Version:	 	1.9.7802.0
Row	Column	Run	Depth	Z	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	19	9.965704E-07	189.3106	0	77.02125	2.529827	0.002962569	-0.877203	0.002793555	0.379117	0.001460552	-0.3410137	0	0	623.0432	0	89.36974	-2.183363	8.630599	2.716183	1.081579	-2.270786	0.05129376	-2.123099	0	0	
0	0	0	20	9.97567E-07	189.2632	0	77.02809	2.530214	0.00479898	-2.054749	0.007093065	2.189352	0.001092817	1.788379	0	0	622.3108	0	89.44283	-2.175328	8.634601	2.71756	1.034899	-2.26185	0.03462823	-2.17486	0	0	
0	0	0	21	9.985721E-07	189.2705	0	77.03638	2.529832	0.005062815	-2.424581	0.001369599	-2.446106	0.00247769	1.61231	0	0	622.1394	0	89.85597	-2.164481	8.609993	2.716801	1.050746	-2.241948	0.03606842	-1.466342	0	0	
0	0	0	22	9.995771E-07	189.3201	0	77.02158	2.530404	0.002644629	-1.855385	0.005863049	0.8363007	0.002322709	-1.952618	0	0	621.3306	0	89.83285	-2.154471	8.560734	2.723964	1.049455	-2.228329	0.03876594	-1.673056	0	0	
0	0	0	23	1.000582E-06	189.3332	0	77.03654	2.530717	0.005945848	-3.035946	0.005265844	-2.836788	0.002405234	1.028646	0	0	621.8811	0	89.78742	-2.144641	8.520621	2.726342	1.038369	-2.211952	0.03557212	-2.157589	0	0	
0	0	0	24	1.001587E-06	189.3254	0	77.04556	2.529721	0.0008895387	2.894866	0.005717968	2.173003	0.0007209451	-0.7649043	0	0	622.0988	0	89.89663	-2.133333	8.496279	2.731196	1.025229	-2.208952	0.0433451	-1.99095	0	0	
0	0	0	25	1.002592E-06	189.2762	0	77.04579	2.53025	0.004611646	-2.330355	0.001341701	-2.613159	0.001681574	-2.193881	0	0	620.7001	0	90.13303	-2.123911	8.470301	2.735248	0.9956871	-2.191087	0.05489431	-1.335681	0	0	
0	0	0	26	1.003597E-06	189.2697	0	77.06043	2.531099	0.009670525	-2.569868	0.006954807	-1.88966	0.001868991	-2.705428	0	0	621.4031	0	90.29168	-2.108315	8.466683	2.740663	1.001547	-2.155555	0.05588113	-1.67231	0	0	
0	0	0	27	1.004602E-06	189.3214	0	77.05979	2.530812	0.007040336	-2.542835	0.00270441	-0.7886225	0.001196272	-2.370978	0	0	620.1908	0	90.14114	-2.0969	8.460171	2.750768	0.996356	-2.137568	0.02861925	-0.7271736	0	0	
0	0	0	28	1.005616E-06	189.3431	0	77.06127	2.530204	0.006306625	-1.345957	0.003756051	-0.6263269	0.001817722	-1.278277	0	0	619.8325	0	90.01883	-2.087916	8.419127	2.755398	0.9736279	-2.132286	0.04699102	-0.9639621	0	0	
0	0	0	29	1.006612E-06	189.3364	0	77.09929	2.530303	0.002262103	-2.458218	0.008517521	-1.903084	0.002448601	2.380201	0	0	619.1292	0	90.19617	-2.068896	8.389063	2.76819	0.9742914	-2.120347	0.05590032	-1.163454	0	0	
0	0	0	30	1.007617E-06	189.2847	0	77.0474	2.530713	0.005656854	-1.8064	0.005499877	2.987537	0.001548107	-2.907691	0	0	619.1342	0	90.03046	-2.056899	8.402797	2.777463	0.9845169	-2.105354	0.05920978	-0.9446262	0	0	
0	0	0	31	1.008622E-06	189.2859	0	77.05023	2.530261	0.005934129	-1.707745	0.003216144	3.017242	0.001723939	2.869287	0	0	618.439	0	89.9999	-2.044507	8.384958	2.783875	0.9608579	-2.091798	0.01439275	-1.438943	0	0	
0	0	0	32	1.009627E-06	189.3344	0	77.02972	2.530704	0.008651003	-2.640328	0.0060664	-1.790023	0.001859888	3.053507	0	0	618.8456	0	90.15534	-2.031822	8.359317	2.788254	0.986424	-2.084233	0.06152851	-0.6676618	0	0	
0	0	0	33	1.010632E-06	189.3483	0	77.03913	2.530586	0.008261216	-1.822839	0.003950445	-0.5166666	0.0005051029	0.1609632	0	0	617.8216	0	89.92133	-2.020002	8.357162	2.797276	0.9654282	-2.071238	0.05752275	-0.2320684	0	0	
0	0	0	34	1.011637E-06	189.3247	0	77.04579	2.530854	0.001130123	1.299237	0.00861604	-1.220602	0.0002460688	1.683985	0	0	617.7019	0	89.81921	-2.006262	8.340802	2.805734	0.9426806	-2.04925	0.05492986	-0.7101552	0	0	
0	0	0	35	1.012642E-06	189.2825	0	77.06973	2.531303	0.005540442	-1.821975	0.005956517	-0.09647939	0.0007078536	-2.984569	0	0	618.6814	0	90.08832	-1.990498	8.329267	2.808027	0.9339904	-2.030057	0.03775673	-0.5687359	0	0	
0	0	0	36	1.013647E-06	189.2858	0	77.09402	2.530866	0.003612509	-1.787079	0.003021689	1.121709	0.002518415	-2.912629	0	0	617.3845	0	89.9315	-1.982551	8.316208	2.813725	0.9486244	-2.039283	0.07567097	-0.5690074	0	0	
0	0	0	37	1.014653E-06	189.3387	0	77.08614	2.530697	0.00602324	-3.044287	0.008166813	0.3700527	0.002587581	0.8283486	0	0	617.9196	0	90.16191	-1.971431	8.320824	2.814978	0.9420431	-2.018846	0.04900934	-0.9521233	0	0	
0	0	0	38	1.015666E-06	189.3482	0	77.06643	2.531042	0.006330002	-0.3885742	0.006724308	-0.6676753	0.001024256	-3.061839	0	0	616.5806	0	89.83456	-1.964506	8.317792	2.825377	0.9218673	-2.013718	0.05609116	-1.254651	0	0	
0	0	0	39	1.016663E-06	189.3319	0	77.05535	2.530519	0.002207052	-2.348476	0.003074897	-1.9095	0.0001222367	-0.4150058	0	0	617.0355	0	90.02101	-1.95506	8.297355	2.819717	0.9436033	-2.016552	0.03049337	-0.3598456	0	0	
0	0	0	40	1.017668E-06	189.292	0	77.08188	2.531105	0.007706283	-2.850466	0.004223672	-0.6316314	0.001594487	0.06844748	0	0	616.0483	0	89.89813	-1.948542	8.282495	2.8249	0.9266602	-2.037692	0.03984611	-0.7747885	0	0	
0	0	0	41	1.018673E-06	189.2951	0	77.13513	2.530578	0.005564071	-2.317753	0.008773824	-0.5670652	0.001432214	2.142922	0	0	616.573	0	89.81695	-1.94097	8.272544	2.823608	0.9127855	-1.98458	0.03193884	-0.9768878	0	0	
0	0	0	42	1.019678E-06	189.3594	0	77.08807	2.530611	0.007456512	-2.813971	0.004861487	1.695178	0.0009011699	0.3975261	0	0	615.9102	0	89.83684	-1.933748	8.276068	2.829366	0.9035878	-1.995887	0.02484254	-0.4256592	0	0	
0	0	0	43	1.020683E-06	189.3507	0	77.07056	2.530786	0.002774247	-2.56976	0.005086029	0.1927029	0.002298625	-2.336068	0	0	615.8156	0	89.74241	-1.924247	8.254518	2.827428	0.9083863	-1.995561	0.05217428	-0.4518535	0	0	
0	0	0	44	1.021688E-06	189.3238	0	77.07845	2.53086	0.00723349	-2.953787	0.003508372	2.639843	0.001020018	0.7504316	0	0	614.9619	0	89.47579	-1.911148	8.276819	2.840369	0.928773	-1.98784	0.02669485	-1.123467	0	0	
0	0	0	45	1.022693E-06	189.2946	0	77.09071	2.531283	0.002689226	-1.45217	0.003513271	0.4158998	0.0009968202	-2.193093	0	0	614.598	0	89.27142	-1.901989	8.285826	2.844485	0.8986737	-1.984029	0.07056435	-0.6897703	0	0	
0	0	0	46	1.023698E-06	189.3047	0	77.08921	2.530851	0.00730739	-2.031992	0.002112357	2.45253	0.002314407	1.62228	0	0	614.4899	0	89.12177	-1.88663	8.26237	2.855034	0.8956679	-1.94834	0.05477161	-0.8251334	0	0	
0	0	0	47	1.024703E-06	189.3603	0	77.06947	2.531269	0.004855623	-2.644674	0.007267603	0.28567	0.001058902	-2.094832	0	0	614.7267	0	89.26833	-1.870497	8.231109	2.859529	0.8966839	-1.951827	0.06624485	-0.904838	0	0	
0	0	0	48	1.025716E-06	189.3621	0	77.09831	2.53124	0.00436921	-2.614813	0.004351613	2.598398	0.0006655809	1.107934	0	0	614.7928	0	89.12092	-1.857938	8.234548	2.865083	0.8917851	-1.956326	0.04042927	-0.9261267	0	0	
0	0	0	49	1.026713E-06	189.3442	0	77.09906	2.530668	0.00683251	-2.685677	0.004459544	1.132851	0.0003755162	1.871049	0	0	614.6771	0	89.27982	-1.847636	8.214354	2.866932	0.900517	-1.970006	0.06663363	-0.5425962	0	0	
0	0	0	50	1.027718E-06	189.3118	0	77.12264	2.531324	0.0005846386	-2.865879	0.005540942	1.132285	0.001800402	-1.67807	0	0	614.2577	0	88.88061	-1.836189	8.249273	2.877022	0.8967116	-1.959155	0.0293731	-0.8538609	0	0	
0	0	0	51	1.028723E-06	189.322	0	77.10701	2.531532	0.00616123	-3.108724	0.007138856	-1.592152	0.001544818	0.3255339	0	0	614.0174	0	88.6728	-1.834883	8.216993	2.872367	0.9038744	-1.966904	0.04159539	-0.4950261	0	0	
0	0	0	52	1.029728E-06	189.3694	0	77.08894	2.531097	0.00710871	-2.266656	0.003699191	-2.409094	0.002072247	-1.623372	0	0	614.5098	0	88.44051	-1.825836	8.188747	2.877719	0.8765611	-1.930602	0.05705072	-0.4043563	0	0	
0	0	0	53	1.030733E-06	189.3837	0	77.12096	2.531731	0.007324662	-0.370012	0.001401533	-1.709683	0.003304431	0.9666516	0	0	614.3638	0	88.47141	-1.824434	8.175946	2.872572	0.8689834	-1.930797	0.05622059	-0.4193187	0	0	
0	0	0	54	1.031738E-06	189.348	0	77.12286	2.531851	0.004118036	-1.276101	0.001376374	0.2952045	0.001388479	2.023257	0	0	614.5966	0	88.28854	-1.820884	8.150405	2.869895	0.8758716	-1.939554	0.0449577	-0.7579047	0	0	
0	0	0	55	1.032743E-06	189.3193	0	77.13775	2.531236	0.003356901	-3.084086	0.005510403	-1.140913	0.002296737	2.493256	0	0	613.6203	0	87.84664	-1.816427	8.152678	2.871056	0.871094	-1.953405	0.05008934	-1.082177	0	0	
0	0	0	56	1.033748E-06	189.3308	0	77.09607	2.531393	0.004595389	-2.856867	0.008606625	-3.101104	0.001379679	-2.905035	0	0	613.4667	0	87.84502	-1.807918	8.165478	2.869447	0.8601133	-1.935413	0.06654237	-0.6797022	0	0	
0	0	0	57	1.034761E-06	189.3743	0	77.15707	2.531599	0.005238509	-1.929763	0.006140864	-1.398717	0.002283835	1.901921	0	0	613.1681	0	87.90672	-1.804585	8.186438	2.866162	0.8725402	-1.957018	0.04630921	-0.3403021	0	0	
0	0	0	58	1.035758E-06	189.391	0	77.12622	2.531328	0.00322142	-2.800151	0.009343541	-1.268926	0.001256951	2.171821	0	0	612.434	0	87.60761	-1.801768	8.185693	2.864687	0.8661135	-1.954162	0.04980516	-0.427332	0	0	
0	0	0	59	1.036763E-06	189.3626	0	77.17104	2.531415	0.004416236	-1.450365	0.007173788	2.251841	0.003547298	-2.061454	0	0	612.4847	0	87.70248	-1.794267	8.175541	2.866571	0.8716185	-1.936753	0.06769606	-0.3968467	0	0	
0	0	0	60	1.037768E-06	189.3255	0	77.13501	2.531407	0.005745843	-1.838404	0.007524509	-0.6207713	0.002831082	-0.6462147	0	0	611.6333	0	87.57535	-1.788819	8.182137	2.864441	0.870519	-1.945811	0.04387198	-0.3664861	0	0	
0	0	0	61	1.038773E-06	189.3397	0	77.12557	2.531441	0.004827493	-2.210972	0.002238942	-1.013994	0.0004014481	2.168522	0	0	611.548	0	87.59265	-1.78231	8.173934	2.862015	0.8718476	-1.964907	0.06972029	-0.4239925	0	0	
0	0	0	62	1.039778E-06	189.382	0	77.11822	2.531595	0.002553284	-0.9059076	0.003488257	2.01526	0.002493846	-1.321943	0	0	611.1244	0	87.55591	-1.774505	8.176373	2.861687	0.8633215	-1.959563	0.03786382	-0.01951685	0	0	
0	0	0	63	1.040783E-06	189.3752	0	77.11128	2.531239	0.002733828	-2.821083	0.003432934	2.388165	0.002921117	-2.631356	0	0	611.3564	0	87.70643	-1.768472	8.187945	2.858722	0.8483022	-1.95351	0.05000501	-0.4064837	0	0	
0	0	0	64	1.041788E-06	189.3549	0	77.14751	2.531492	0.001430034	-0.1166274	0.001450057	2.110534	0.0002188249	1.333772	0	0	610.7079	0	87.2855	-1.761455	8.197215	2.864526	0.8626537	-1.96685	0.05402393	-0.3877025	0	0	
0	0	0	65	1.042793E-06	189.3268	0	77.13462	2.532074	0.007426714	-2.705673	0.01100563	2.151365	0.001044716	-1.618031	0	0	611.0581	0	87.08253	-1.759825	8.175061	2.858755	0.8740307	-1.957433	0.04367918	-0.5206065	0	0	
0	0	0	66	1.043798E-06	189.3464	0	77.1319	2.532027	0.002724123	-2.08723	0.002147448	-1.27805	0.002840506	-1.837475	0	0	610.4364	0	86.83931	-1.751252	8.165176	2.86349	0.8641855	-1.962599	0.06270071	-0.4100264	0	0	
0	0	0	67	1.044812E-06	189.3869	0	77.14348	2.532143	0.001912953	-1.633109	0.005870735	-2.790723	0.00100113	1.932525	0	0	610.8849	0	86.62512	-1.746064	8.140426	2.862696	0.8438614	-1.956345	0.05932577	-0.2868035	0	0	
0	0	0	68	1.045808E-06	189.3818	0	77.1419	2.532245	0.005277853	-1.386036	0.01003515	0.371424	0.0008719816	-2.943637	0	0	610.385	0	86.28946	-1.738998	8.167064	2.865196	0.8404068	-1.983666	0.08264863	-0.4541793	0	0	
0	0	0	69	1.046813E-06	189.3467	0	77.13322	2.532124	0.00188418	-2.371556	0.002802488	0.8321902	0.001136809	2.747952	0	0	609.912	0	85.7683	-1.731598	8.144484	2.870211	0.8290805	-1.961172	0.02842119	-0.8956248	0	0	
0	0	0	70	1.047818E-06	189.3264	0	77.19999	2.531972	0.006011736	-2.006675	0.005018435	2.521089	0.001428675	0.02212193	0	0	610.5044	0	85.85315	-1.719705	8.150181	2.874009	0.8354238	-1.944129	0.04417989	-0.4643197	0	0	
0	0	0	71	1.048823E-06	189.3453	0	77.14887	2.532416	0.005990836	-1.780991	0.004219301	0.4364576	0.001840871	0.3290178	0	0	610.5118	0	85.93533	-1.710322	8.12845	2.874619	0.8473602	-1.935711	0.04345313	-0.2734381	0	0	
0	0	0	72	1.049828E-06	189.3973	0	77.16296	2.532105	0.00373197	-2.158285	0.005885236	-0.8955868	0.001064792	-1.332067	0	0	610.4392	0	85.32068	-1.700556	8.09303	2.881507	0.8428748	-1.942475	0.05668073	-0.6725094	0	0	
0	0	0	73	1.050833E-06	189.3918	0	77.17292	2.532074	0.005080164	-1.511857	0.008822619	0.03309991	0.005520661	1.810017	0	0	609.9126	0	84.79528	-1.689917	8.083862	2.88917	0.827705	-1.944593	0.06104518	-0.4402456	0	0	
0	0	0	74	1.051838E-06	189.346	0	77.15345	2.532208	0.01058419	-1.883153	0.001698914	1.646081	0.00275824	2.072407	0	0	610.5114	0	84.74188	-1.682384	8.063683	2.891249	0.8614004	-1.934083	0.06119996	-0.5809133	0	0	
0	0	0	75	1.052843E-06	189.3315	0	77.17288	2.5319	0.005629736	-1.806009	0.008014635	0.08174974	0.001701564	3.044107	0	0	609.5891	0	84.41619	-1.670489	8.066866	2.899031	0.819262	-1.930867	0.06200462	-0.6463668	0	0	
0	0	0	76	1.053857E-06	189.3524	0	77.1432	2.532139	0.001343741	0.7688645	0.002019149	-0.3622964	0.00066647	-1.392709	0	0	610.4667	0	84.37858	-1.659376	8.044901	2.905975	0.8416381	-1.94676	0.06644964	-0.4941356	0	0	
0	0	0	77	1.054854E-06	189.3868	0	77.17462	2.532515	0.004321945	-2.078946	0.004713338	1.648455	0.002156107	-2.424443	0	0	609.7082	0	83.92752	-1.652673	8.044946	2.905613	0.8326183	-1.927765	0.04939967	-0.2627578	0	0	
0	0	0	78	1.055859E-06	189.389	0	77.19057	2.53211	0.008345082	-1.628317	0.004938465	1.347645	0.001611659	-0.5915892	0	0	610.0457	0	83.91324	-1.642675	8.013676	2.908037	0.8303559	-1.91859	0.03890527	-0.5523416	0	0	
0	0	0	79	1.056864E-06	189.3372	0	77.19406	2.532445	0.00156599	1.241634	0.002445255	-1.150083	0.0009638769	2.818542	0	0	610.0572	0	83.4659	-1.635784	7.990936	2.910163	0.8390968	-1.962415	0.06193128	-0.8071508	0	0	
0	0	0	80	1.057869E-06	189.3311	0	77.14657	2.532511	0.007039494	-1.122589	0.002367887	-2.896293	0.001006951	-0.01541424	0	0	608.9797	0	82.61911	-1.625498	8.010291	2.920585	0.8122785	-1.939084	0.04984465	-0.5047241	0	0	
0	0	0	81	1.058874E-06	189.3546	0	77.19596	2.532268	0.001818208	1.076871	0.003677664	0.1449496	0.001522768	0.2952356	0	0	608.5262	0	82.4845	-1.618424	8.021283	2.918681	0.8252501	-1.938831	0.05214785	-0.2219227	0	0	
0	0	0	82	1.059879E-06	189.3952	0	77.18846	2.531955	0.005468795	-2.008197	0.004317931	0.7717902	0.001647191	1.848536	0	0	608.2455	0	82.53622	-1.607932	8.023349	2.920554	0.8097509	-1.939132	0.07134713	-0.6784722	0	0	
0	0	0	83	1.060884E-06	189.3891	0	77.15584	2.532094	0.001966175	-1.877892	0.001155152	-2.011295	0.0002940253	-0.7689069	0	0	608.2407	0	82.45032	-1.601131	8.013013	2.919049	0.8144533	-1.933903	0.05636678	-0.3316246	0	0	
0	0	0	84	1.061889E-06	189.3226	0	77.18649	2.532244	0.006643156	-2.361518	0.003495999	-0.3106021	0.001745602	1.696213	0	0	607.5001	0	82.12891	-1.59457	8.033555	2.921777	0.8081174	-1.933957	0.03617105	0.2508812	0	0	
0	0	0	85	1.062894E-06	189.3218	0	77.18764	2.532078	0.00587341	-1.320421	0.005730562	-2.197874	0.000763525	-1.863903	0	0	607.861	0	81.79775	-1.586856	8.000886	2.921806	0.8258692	-1.951979	0.03624561	-0.5907171	0	0	
0	0	0	86	1.063907E-06	189.3407	0	77.20573	2.532999	0.004223227	-0.7718051	0.008736577	0.6287978	0.002655671	3.08646	0	0	607.7458	0	81.86211	-1.581651	7.988302	2.9184	0.8249271	-1.91033	0.05688914	-0.574466	0	0	
0	0	0	87	1.064904E-06	189.3715	0	77.21803	2.533251	0.003573025	-2.285616	0.01080264	-1.822202	0.001746426	-2.812091	0	0	608.1785	0	81.62185	-1.575908	7.994407	2.924793	0.8118932	-1.929953	0.05195687	-0.1745508	0	0	
0	0	0	88	1.065909E-06	189.3605	0	77.21275	2.532645	0.007356457	-1.810833	0.002228478	0.9117841	0.003299958	1.757631	0	0	607.2303	0	81.28543	-1.568755	7.997283	2.919812	0.8236164	-1.957812	0.04958657	-0.04340256	0	0	
0	0	0	89	1.066914E-06	189.3064	0	77.20107	2.532061	0.003699831	-2.10834	0.002660176	1.207131	0.005335914	2.382871	0	0	607.0982	0	81.04164	-1.55864	7.982404	2.926611	0.8262194	-1.960989	0.06158669	-0.7479438	0	0	
0	0	0	90	1.067919E-06	189.3127	0	77.24931	2.532653	0.004690007	-1.172236	0.009674206	-0.143177	0.0005558143	1.785038	0	0	607.1433	0	80.64541	-1.548247	7.957942	2.927229	0.815053	-1.948135	0.06952251	-0.7645101	0	0	
0	0	0	91	1.068924E-06	189.3331	0	77.25314	2.532351	0.005383765	-2.355363	0.009644242	-0.6405839	0.001110195	-0.4577907	0	0	607.4243	0	80.55894	-1.545266	7.937735	2.924469	0.8140989	-1.970679	0.05265924	-0.3891792	0	0	
0	0	0	92	1.069929E-06	189.3556	0	77.17601	2.532697	0.003862257	2.760197	0.006231191	-0.7447715	0.001959261	1.893638	0	0	607.7565	0	80.07676	-1.533882	7.932783	2.92914	0.8236678	-1.931998	0.02902363	0.1890757	0	0	
0	0	0	93	1.070934E-06	189.3547	0	77.20281	2.532641	0.003349102	-1.47837	0.004580703	2.359826	0.001445688	2.308933	0	0	607.6481	0	79.44526	-1.528125	7.895954	2.92816	0.7969456	-1.936428	0.05504318	-0.2274968	0	0	
0	0	0	94	1.071939E-06	189.2822	0	77.21755	2.532457	0.002909933	3.060587	0.003497062	-2.017376	0.001633215	1.321682	0	0	607.1704	0	78.90237	-1.520021	7.911583	2.930698	0.8088437	-1.963758	0.05441444	-0.5900108	0	0	
0	0	0	95	1.072944E-06	189.2885	0	77.17832	2.532246	0.004307216	-3.095631	0.00913557	-1.990881	0.001300152	2.958517	0	0	606.5969	0	79.16006	-1.51071	7.906781	2.932637	0.7917187	-1.947424	0.0457304	0.0452412	0	0	
0	0	0	96	1.073957E-06	189.3179	0	77.25233	2.533034	0.002310541	-1.915549	0.005973302	-2.399255	0.003573111	1.321307	0	0	605.9286	0	78.58269	-1.498604	7.91884	2.940021	0.8043417	-1.952362	0.05901136	-0.7219896	0	0	
